site_id,rho_max,rho_null,c_ov,k_ov,k,tau,eta_null
1AD,382.8091963799932,69.28456607124619,0.0005142176854487,0.4481900451626625,0.0293159546221909,0.02466761863281,8479677.755912676
1GA,449.2945393446544,65.09039614091355,0.0003828541499999,0.3977759941591235,0.0370373014414474,0.0186141218201875,10127992.219723038
1GB,414.0396616709888,65.38164559666245,0.0005773598841401,0.2934015305115647,0.0287169813508059,0.023800867050214,8957276.755339235
1GD,442.2362644649726,65.36610508193735,0.0004019226196289,0.4639683537605129,0.0267226676330166,0.022351417839855,10137103.50462772
1GS,364.2454940067631,95.22104398368008,0.0004876101652677,0.4453517541052308,0.0299258176028213,0.0198431845782177,6507059.630810279
1GT,407.8463194561333,73.88775624898274,0.0004521948924213,0.4549872325030151,0.0244763139541468,0.0209014741434978,10322381.285058543
1JA,430.0463598758707,101.10281532035812,0.0003919263790171,0.4732092125,0.0372948566285684,0.0196358602350442,10650467.269804616
1LS,392.9593507423552,71.50428837778338,0.0003828541499999,0.3170611694664751,0.0228906632535127,0.0283026631055138,7759504.919044895
1MI,395.7446435101719,89.94918182552365,0.0004480425407296,0.4619860385322564,0.029513844124264,0.0211705583535252,10125668.698272975
1MR,385.1196811941119,65.81656216455784,0.000550132019037,0.3962003532363429,0.0265842784085594,0.027684878995747,8943632.838140994
1PL,372.5018927526479,109.983903097812,0.0003828541499999,0.3974485512536576,0.0233871027527802,0.0179965163672989,6478656.635343761
1SM,344.24620666439404,65.16132170035414,0.0006275294367228,0.3108853332520705,0.023637148345131,0.0291995331964343,10401975.960127393
1WE,300.19350830245213,94.0491681300921,0.0006038758418755,0.4426662702425144,0.0253249502869699,0.0268004598792414,6415439.255923243
2AN,421.581763179034,80.71106636914423,0.0004088946620264,0.4277256232336094,0.0283573115654586,0.0201384124354918,8305708.999454228
2GA,428.2386258806863,65.12200558848521,0.0003971092616283,0.2912893817119009,0.0276066598679916,0.028950765147799,10154652.344489956
2OG,388.7970848987793,95.5617784226716,0.0004762739125373,0.3953331235884184,0.0294342515476288,0.0185328841248108,9917172.51144299
