site_id,rho_max,rho_null,c_ov,k_ov,k,tau,eta_null
5RU,344.9418163917841,66.27724366245211,0.0003828541499999,0.3847905301030037,0.0229701962674823,0.0280879895674775,7749833.758407647
5SE,397.91352627451545,66.70537201886992,0.0005608519731466,0.4297793994003205,0.0256118429846241,0.0275782107761016,8775942.279918196
5SP,358.2928011452098,104.7090198484702,0.0005558087171824,0.3877057483509989,0.0356988887017552,0.0226239289209439,9329150.707565896
5WJ,471.1798578450628,93.5192238480316,0.0003828541499999,0.4163287995313703,0.0285655386664101,0.0184555637951376,10584247.401293367
5ZV,413.9866657035748,66.25235294008202,0.0005828984156964,0.3761257985299956,0.0299855980401687,0.0202537871547485,6605227.819298301
6CB,366.1512655352992,68.56798954108194,0.0004650716050052,0.3481105527551345,0.0234763121005392,0.0223830170282062,7522708.094741508
6NT,353.0516895298725,74.81443142764687,0.0003828541499999,0.3697100408902457,0.0276152057784472,0.0177323809821618,10255287.545919811
6PE,416.5688908147041,91.55111505379188,0.0006004141962694,0.4558253032022079,0.0249600770692761,0.0213245032476842,8845000.546018964
6RO,481.78139521744765,72.0939609349052,0.0003828541499999,0.4682058201318504,0.0274295342040053,0.0255871592924862,9855697.514569256
6SB,391.5284951377079,66.00031490855986,0.0004146571829913,0.4457140962392668,0.0285434678615496,0.0255444452340914,9549008.776766902
7CO,391.35628958402447,111.76418845479888,0.0004613831834145,0.4410410612790426,0.0297814337812131,0.0193699238100054,8937381.693190245
7CW,368.1442907486058,97.46583124921882,0.0005297697443778,0.4388992612653135,0.0352441451767464,0.0243906232698099,7587150.453018778
7LD,334.5043602327598,89.32083555982115,0.0003828541499999,0.4657328050276273,0.0314789682284758,0.0180536949236445,6487148.36564863
7MA,405.35287896607394,73.00259034414887,0.0003893718981697,0.4555582352544094,0.026186314125439,0.0178293433828033,10493052.394883614
7MT,376.4222087407368,68.17534681918576,0.0006207267371196,0.4532813305962325,0.0291127400605685,0.0263852672043502,7142597.545068231
7PO,328.35157098288494,65.57783240638396,0.0003828541499999,0.366598501836182,0.0273924453795221,0.0224497228281411,10536082.340473656
7SN,342.8633173614796,68.85472372162457,0.0003959560290606,0.4442128597141119,0.0331022472705901,0.018015499141542,8357612.303363346
7ST,342.07237740573333,91.45439688884154,0.0005107567182646,0.4155759768078934,0.0339931971281895,0.0222849960233554,8179622.987073259
7ZU,335.60568297685035,79.76919160941077,0.0003885038362514,0.4453560408927547,0.0263508295393861,0.0182208620612969,7954450.947967923
