site_id,R2_Snow,R2_No_Snow
1AD,0.9261357634415323,0.956271426237108
1GD,0.9738088672211648,0.9624450185018181
1GS,0.9524185573265761,0.960398142116024
1GT,0.9613405580887808,0.9627680358186543
1LS,0.9147021235977036,0.9593460565916593
1MI,0.9640446965024317,0.9670070916940979
1MR,0.9663801313052148,0.971791094702733
2AN,0.9785896542546614,0.9685446109796905
2RI,0.8940977486327922,0.9339937142036534
2ST,0.9639733547724278,0.9707939865733997
2TR,0.9787232045151354,0.9408612355902134
3BR,0.9710087627886768,0.9664731100357337
3EL,0.9360686594729749,0.965912534730985
3FB,0.9603176464591067,0.9713614088024443
3MB,0.9618103100877787,0.970008871770875
3SW,0.9418252932461194,0.913760015856888
4BP,0.9499118335016983,0.9640841679717957
4FY,0.9770355247572212,0.9692530877765019
4KU,0.9615130903984495,0.9564489199358556
4MS,0.9855801943667128,0.9839773791395162
4SF,0.9432978469144306,0.9358078951345904
4UL,0.9672211856811407,0.9578081975945913
4WI,0.9763134372858343,0.9711151384916703
4ZE,0.9615421716741868,0.9601789035501563
5AR,0.9480006599678072,0.9559493374616276
5BI,0.9754928433468927,0.9747771805876849
5DF,0.9701916833799388,0.9611408405930133
5DI,0.9258711738084751,0.9373083563320057
5JU,0.9846550303756526,0.9727636892080086
5KK,0.9728631515578816,0.9628430351258915
5RU,0.9194805533909047,0.9663549080328449
5SE,0.9669023941760456,0.9727041922659465
5SP,0.960503230398194,0.9592664836291714
5ZV,0.9655378945040131,0.9569148203577621
6NT,0.9527597808976893,0.9584220037949904
6RO,0.9838236091171378,0.9619430917978226
6SB,0.9521714968199582,0.9672474580974297
7CO,0.8720092804410117,0.8727955920468293
7LD,0.9316049881717622,0.906113486344728
7MA,0.9645320823332604,0.9670845400988962
7MT,0.9672175429315256,0.9570541361803004
7SN,0.8752592560884354,0.9049969260709335
7ST,0.945314321201636,0.9439397951989148
7ZU,0.9660192635090386,0.9592131106533062
